fold,augmentation,accuracy,precision,recall,f1_score,auc
1,Basic,0.631979695431472,0.6666730326380585,0.6237164959991047,0.5906649201306292,0.8219277801075108
2,Basic,0.6776649746192893,0.7853959017817653,0.6620373789939007,0.6341490440563249,0.8452560597181251
3,Basic,0.7588832487309645,0.8360150511216995,0.7550205640423031,0.7143650422574224,0.8682232362731401
4,Basic,0.7436548223350253,0.8386694391657675,0.733219741480611,0.6972692866376946,0.8694061857555546
5,Basic,0.7614213197969543,0.8450650361213536,0.7568683901292597,0.7162261875798897,0.8797221383268756
1,Flip & Noise,0.6040609137055838,0.6713369954570171,0.6057186223490572,0.5790271633844531,0.8065920769281965
2,Flip & Noise,0.6852791878172588,0.7689790494448041,0.6705539701191875,0.6368216922396489,0.8316078884333735
3,Flip & Noise,0.6751269035532995,0.7262248913512065,0.6655907615690224,0.6349263156054838,0.8377462004673708
4,Flip & Noise,0.7106598984771574,0.7813944530046224,0.6991058138884226,0.6649694088161581,0.8471125651729496
5,Flip & Noise,0.7284263959390863,0.7848379417346354,0.7168889541715628,0.681696306099903,0.8520220230542295
1,Rotation & Elastic,0.5761421319796954,0.664740508533612,0.5702252252252252,0.5529337670994714,0.7953268855170625
2,Rotation & Elastic,0.6472081218274112,0.6943092935561818,0.6348582899669857,0.6132360793142022,0.8181031086534679
3,Rotation & Elastic,0.649746192893401,0.7078531453531453,0.6418004028873594,0.6020520089686165,0.8276734065913063
4,Rotation & Elastic,0.649746192893401,0.7279028509259946,0.6362795870404566,0.6152067510548522,0.8227129925776866
5,Rotation & Elastic,0.6548223350253807,0.7420552721088436,0.6420699737004085,0.6266390403013878,0.828136269011112
